Location,Minimum,Average,Maximum
Beyneū,45.3247,45.3247,45.3247,1
Ascot,51.4084,51.4084,51.4084,1
Kumano,33.8886,34.112198,34.3358,2
Mehnatobod,37.7167,38.95835,40.2,2
Guruvāyūr,10.5947,10.5947,10.5947,1
Rajpur,21.9402,22.12275,22.3053,2
Cavriago,44.7,44.7,44.7,1
Piedra Blanca,18.8438,18.8438,18.8438,1
Ibaan,13.8176,13.8176,13.8176,1
North Merrick,40.6871,40.6871,40.6871,1
Ban Bang Khu Lat,13.9134,13.9134,13.9134,1
Yelur,15.7817,15.7817,15.7817,1
Wesseling,50.8167,50.8167,50.8167,1
Greenburgh,41.033,41.033,41.033,1
Whitestown,39.9706,41.5528,43.135,2
Gūdalūr,10.783,10.9061,11.1455,3
Ban Bang Toei,14.0656,14.0656,14.0656,1
Yakossi,5.617,5.617,5.617,1
Vila Pouca de Aguiar,41.5006,41.5006,41.5006,1
Neman,55.0333,55.0333,55.0333,1
Kowary,50.7917,50.7917,50.7917,1
Round Rock,30.527,30.527,30.527,1
Jocotepec,20.2861,20.2861,20.2861,1
Ingleside,27.8703,27.8703,27.8703,1
Bairo,26.0144,26.0144,26.0144,1
Mitoma,-0.615,-0.615,-0.615,1
Chiknāyakanhalli,13.4161,13.4161,13.4161,1
Dix Hills,40.8033,40.8033,40.8033,1
Cerro de Pasco,-10.6864,-10.6864,-10.6864,1
Sakardih,25.228,25.228,25.228,1
Kākalūr,13.1394,13.1394,13.1394,1
Dorgali,40.3,40.3,40.3,1
Baisa,25.3552,25.3552,25.3552,1
Tutóia,-2.7619,-2.7619,-2.7619,1
Oudewater,52.0167,52.0167,52.0167,1
Rozzano,45.3833,45.3833,45.3833,1
Dowlaiswaram,16.9506,16.9506,16.9506,1
Cunduacán,18.0667,18.0667,18.0667,1
Castro-Urdiales,43.3844,43.3844,43.3844,1
Fraga,41.52,41.52,41.52,1
Buchs,47.1667,47.1667,47.1667,1
Bamble,59.0197,59.0197,59.0197,1
Kirundo,-2.59,-2.59,-2.59,1
Swift Current,50.2881,50.2881,50.2881,1
Brejões,-13.1039,-13.1039,-13.1039,1
Perrysburg,41.5377,41.5377,41.5377,1
Oyim,40.8242,40.8242,40.8242,1
Kumla,59.1167,59.1167,59.1167,1
Črna na Koroškem,46.4697,46.4697,46.4697,1
Lauritsala,61.0708,61.0708,61.0708,1
Bucha,50.5486,50.5486,50.5486,1
Pleasant Grove,33.494,36.9328,40.3716,2
Dar Chaifat,32.55,32.55,32.55,1
Rānāpur,22.647,22.647,22.647,1
Panama City Beach,30.237,30.237,30.237,1
Südlohn,51.9436,51.9436,51.9436,1
Tofol,5.3258,5.3258,5.3258,1
Krupanj,44.3667,44.3667,44.3667,1
Jacksonville,31.9642,35.02236,39.7292,5
Kochas,25.234,25.234,25.234,1
Nanqiaotou,22.7217,22.7217,22.7217,1
Besigheim,48.9983,48.9983,48.9983,1
Pontalina,-17.5258,-17.5258,-17.5258,1
San Leonardo,15.3611,15.3611,15.3611,1
Pfarrkirchen,48.4167,48.4167,48.4167,1
Yuzhang,25.3561,25.3561,25.3561,1
Alarobia,-18.9667,-18.9667,-18.9667,1
Antsoantany,-19.7,-19.7,-19.7,1
Zhukovskiy,55.5972,55.5972,55.5972,1
Plaridel,8.6214,12.486466,14.8869,3
Wyomissing,40.3317,40.3317,40.3317,1
Ubrique,36.6833,36.6833,36.6833,1
Occhiobello,44.9216,44.9216,44.9216,1
Shintō,36.4384,36.4384,36.4384,1
Naraura,28.1967,28.1967,28.1967,1
Potchefstroom,-26.715,-26.715,-26.715,1
San Martín Zapotitlán,14.6,14.6,14.6,1
Žepče,44.4333,44.4333,44.4333,1
Wandlitz,52.75,52.75,52.75,1
Studeničani,41.9158,41.9158,41.9158,1
Bon Air,37.5187,37.5187,37.5187,1
Zhaoqiao,37.9398,37.9398,37.9398,1
Voorst,52.2333,52.2333,52.2333,1
Quinte West,44.1833,44.1833,44.1833,1
Potavaram,17.0194,17.0194,17.0194,1
Riedisheim,47.7483,47.7483,47.7483,1
Älta,59.25,59.25,59.25,1
Magas,43.1667,43.1667,43.1667,1
Zhilinda,70.1333,70.1333,70.1333,1
Meckenheim,50.6333,50.6333,50.6333,1
Itarantim,-15.66,-15.66,-15.66,1
Saint-André-les-Vergers,48.2797,48.2797,48.2797,1
Merksem,51.2428,51.2428,51.2428,1
Kewatgāwān,25.8012,25.8012,25.8012,1
Guoxing,24.055,24.055,24.055,1
Senjān,34.0497,34.0497,34.0497,1
Tarogong,-7.215,-7.215,-7.215,1
Rosas,2.2667,22.265001,42.2633,2
Baradères,18.4825,18.4825,18.4825,1
Missão Velha,-7.25,-7.25,-7.25,1
Robinson,31.4501,35.95395,40.4578,2
San Carlos del Zulia,9.0,9.0,9.0,1
Tundhul,23.3247,23.3247,23.3247,1
Essex Junction,44.4902,44.4902,44.4902,1
Xibang,30.9412,30.9412,30.9412,1
Soanierana Ivongo,-16.9167,-16.9167,-16.9167,1
Sibuco,7.2928,7.2928,7.2928,1
Ixtlahuacán de los Membrillos,20.35,20.35,20.35,1
Bulung’ur Shahri,39.76,39.76,39.76,1
Jabbeke,51.1833,51.1833,51.1833,1
Ambodilazana,-18.1194,-18.1194,-18.1194,1
Sherrelwood,39.839,39.839,39.839,1
Al Ḩawīyah,21.4411,21.4411,21.4411,1
Los Blancos,-23.6,-23.6,-23.6,1
Bouhlou,34.1333,34.1333,34.1333,1
Kāliganj,23.7348,23.7348,23.7348,1
Ambodisikidy,-14.2333,-14.2333,-14.2333,1
Itasca,41.9772,41.9772,41.9772,1
Los Cerrillos,-33.5,-33.5,-33.5,1
Issum,51.5389,51.5389,51.5389,1
Pescaria Brava,-28.3833,-28.3833,-28.3833,1
Yunshan,34.761,34.761,34.761,1
Alaminos,14.0635,15.1094,16.1553,2
Andújar,38.0392,38.0392,38.0392,1
Ash Shūnah ash Shamālīyah,32.61,32.61,32.61,1
La Crescenta-Montrose,34.2322,34.2322,34.2322,1
Aiyetoro Gbede,7.9833,7.9833,7.9833,1
Plombières,50.7333,50.7333,50.7333,1
Melong,5.1211,5.1211,5.1211,1
Estanzuelas,13.65,13.65,13.65,1
Everswinkel,51.925,51.925,51.925,1
Simi Valley,34.2663,34.2663,34.2663,1
Algūn,31.2795,31.2795,31.2795,1
San Cristóbal Cucho,14.9,14.9,14.9,1
Mikumi,-7.4072,-7.4072,-7.4072,1
Planadas,3.1964,3.1964,3.1964,1
Sagaing,21.8822,21.8822,21.8822,1
Iscuandé,2.4444,2.4444,2.4444,1
Knokke-Heist,51.3414,51.3414,51.3414,1
Miami Gardens,25.9433,25.9433,25.9433,1
Takaharu,31.9284,31.9284,31.9284,1
Watsonville,36.9206,36.9206,36.9206,1
Victoria,-38.2333,10.82607,44.8634,10
São Gonçalo do Pará,-19.9828,-19.9828,-19.9828,1
Qarazhal,48.0253,48.0253,48.0253,1
São Francisco de Assis,-29.55,-29.55,-29.55,1
Itapetininga,-23.5917,-23.5917,-23.5917,1
Shiremoor,55.0366,55.0366,55.0366,1
Sodražica,45.7616,45.7616,45.7616,1
Hirehadagalli,14.9267,14.9267,14.9267,1
Bački Petrovac,45.3606,45.3606,45.3606,1
Kivistö,60.3236,60.3236,60.3236,1
Lampa,-33.2833,-24.323448,-15.3636,2
Chicomba,-14.1333,-14.1333,-14.1333,1
Immokalee,26.4253,26.4253,26.4253,1
San Giorgio del Sannio,41.0667,41.0667,41.0667,1
Huizen,52.3,52.3,52.3,1
Kashin,57.35,57.35,57.35,1
Thomasville,30.8394,33.36035,35.8813,2
Al Qurayn,30.6161,30.6161,30.6161,1
As Suqaylibīyah,35.3697,35.3697,35.3697,1
Bürstadt,49.6333,49.6333,49.6333,1
Dinklage,52.6667,52.6667,52.6667,1
Kiełczów,51.1406,51.1406,51.1406,1
Challakere,14.312,14.312,14.312,1
Usman,52.05,52.05,52.05,1
Ain Kansara,34.15,34.15,34.15,1
Bithlo,28.5644,28.5644,28.5644,1
Marosakoa,-16.2333,-16.2333,-16.2333,1
Sarāvān,27.3708,27.3708,27.3708,1
Bucay,17.5388,17.5388,17.5388,1
Altenberge,52.0458,52.0458,52.0458,1
Gerstetten,48.6225,48.6225,48.6225,1
Kürdəmir,40.3383,40.3383,40.3383,1
Bādanahatti,15.3176,15.3176,15.3176,1
Hohenmölsen,51.1564,51.1564,51.1564,1
Hammelburg,50.1167,50.1167,50.1167,1
Tordesillas,41.5,41.5,41.5,1
Velānganni,10.6814,10.6814,10.6814,1
Svetlograd,45.35,45.35,45.35,1
Idigny,7.4833,7.4833,7.4833,1
Neuötting,48.2167,48.2167,48.2167,1
Lübbenau/Spreewald,51.8667,51.8667,51.8667,1
Būdili,13.9353,13.9353,13.9353,1
San Antonio,-33.5933,3.59578,15.3078,10
Baiji,26.0231,26.0231,26.0231,1
Upper Providence,40.1654,40.1654,40.1654,1
Santa Gertrudes,-22.4569,-22.4569,-22.4569,1
Palestina,-20.39,-4.5189,5.0833,3
Patuakhāli,22.3542,22.3542,22.3542,1
Bitritto,41.05,41.05,41.05,1
Palestine,31.7544,31.7544,31.7544,1
Weyhe,52.9936,52.9936,52.9936,1
Takahata,38.0027,38.0027,38.0027,1
Kaunra,25.5231,25.5231,25.5231,1
Santa Cruz do Sul,-29.7178,-29.7178,-29.7178,1
Tebourba,36.8333,36.8333,36.8333,1
Vellatūru,16.1209,16.1209,16.1209,1
Capitão Enéas,-16.3239,-16.3239,-16.3239,1
Kanding,22.5194,22.5194,22.5194,1
Hattingen,51.3992,51.3992,51.3992,1
Kimwanyi,0.4533,0.4533,0.4533,1
Shinshiro,34.9159,34.9159,34.9159,1
Kumta,14.4264,14.4264,14.4264,1
Pollensa,39.8772,39.8772,39.8772,1
Taveta,-3.3956,-3.3956,-3.3956,1
Ārutla,17.1346,17.1346,17.1346,1
Sahuli,26.1118,26.1118,26.1118,1
Udayendram,12.6962,12.6962,12.6962,1
Tirumayam,10.2449,10.2449,10.2449,1
Petersburg,37.2043,37.2043,37.2043,1
Río Cuarto,10.4076,10.4076,10.4076,1
Dragash,42.0611,42.0611,42.0611,1
Tzucacab,20.0708,20.0708,20.0708,1
Fandrandava,-21.5167,-21.5167,-21.5167,1
Fort Madison,40.6207,40.6207,40.6207,1
Gwanda,-20.9389,-20.9389,-20.9389,1
Ar Riqqah,29.1489,29.1489,29.1489,1
Ihorombe,-23.0,-23.0,-23.0,1
Flixton,53.447,53.447,53.447,1
Bucak,37.4592,37.4592,37.4592,1
Dīvāndarreh,35.9139,35.9139,35.9139,1
Casinhas,-7.7411,-7.7411,-7.7411,1
Ham Lake,45.2545,45.2545,45.2545,1
Maxixe,-23.8667,-23.8667,-23.8667,1
Mesrā,23.4339,23.4339,23.4339,1
Kremenets,50.1081,50.1081,50.1081,1
Zempoala,19.9167,19.9167,19.9167,1
Pullūru,16.8301,16.8301,16.8301,1
Key Largo,25.1224,25.1224,25.1224,1
Ladera Ranch,33.5492,33.5492,33.5492,1
San Juan de los Lagos,21.2489,21.2489,21.2489,1
Khvānsār,33.2206,33.2206,33.2206,1
Ōtaki,35.2852,35.2852,35.2852,1
Alamosa,37.4752,37.4752,37.4752,1
Lewisburg,35.451,35.451,35.451,1
Groton,41.3598,41.986748,42.6137,2
Ōtake,34.2333,34.2333,34.2333,1
Bābura,25.6838,25.6838,25.6838,1
Royston,52.0471,52.828552,53.61,2
Hacıqabul,40.0433,40.0433,40.0433,1
Taketa,32.9667,32.9667,32.9667,1
Itaporanga,-7.3039,-7.3039,-7.3039,1
San Felíu de Llobregat,41.3833,41.3833,41.3833,1
Zhengdong,22.4871,22.4871,22.4871,1
Przemyśl,49.7833,49.7833,49.7833,1
Eenhana,-17.4658,-17.4658,-17.4658,1
Hoek van Holland,51.9811,51.9811,51.9811,1
Yerres,48.7171,48.7171,48.7171,1
Santa Mariana,-23.15,-23.15,-23.15,1
Elista,46.3167,46.3167,46.3167,1
Tangpingcun,22.0292,22.0292,22.0292,1
Attingal,8.68,8.68,8.68,1
Badia Polesine,45.1,45.1,45.1,1
Sesimbra,38.4437,38.4437,38.4437,1
Kafr Takhārīm,36.1164,36.1164,36.1164,1
Belo Oriente,-19.22,-19.22,-19.22,1
Võru,57.8486,57.8486,57.8486,1
Ulātu,23.2766,23.2766,23.2766,1
Socastee,33.6871,33.6871,33.6871,1
Kumari,25.6564,25.6564,25.6564,1
Ancona,43.6169,43.6169,43.6169,1
Mogaung,25.3014,25.3014,25.3014,1
Harborne,52.46,52.46,52.46,1
Bugojno,44.0572,44.0572,44.0572,1
Uar Esgudud,1.2667,1.2667,1.2667,1
Alausí,-2.19,-2.19,-2.19,1
Snezhinsk,56.0833,56.0833,56.0833,1
Kallūr,16.1405,16.67025,17.2,2
Warrenville,41.8209,41.8209,41.8209,1
Vyāra,21.12,21.12,21.12,1
Kapsabet,0.3333,0.3333,0.3333,1
Cologno al Serio,45.5833,45.5833,45.5833,1
Bonthe,7.5264,7.5264,7.5264,1
Tepeapulco,19.7856,19.7856,19.7856,1
Shentang,22.2915,22.2915,22.2915,1
Włoszczowa,50.8542,50.8542,50.8542,1
Piraçununga,-21.9961,-21.9961,-21.9961,1
Acaxochitlán,20.1667,20.1667,20.1667,1
Almonte,37.2667,37.2667,37.2667,1
Santa Cruz Verapaz,15.3736,15.3736,15.3736,1
Kuppachchipālaiyam,11.0273,11.0273,11.0273,1
Calamar,1.9206,6.0853,10.25,2
Toms River,39.9895,39.9895,39.9895,1
White City,42.4316,42.4316,42.4316,1
San Elizario,31.5793,31.5793,31.5793,1
São Pedro do Ivaí,-23.865,-23.865,-23.865,1
Yatağan,37.3425,37.3425,37.3425,1
Boudjima,36.814,36.814,36.814,1
Balingasag,8.75,8.75,8.75,1
Lysva,58.1003,58.1003,58.1003,1
Saint-Lambert,45.5,45.5,45.5,1
Unchahra,24.3825,24.3825,24.3825,1
Pitrufquén,-38.9833,-38.9833,-38.9833,1
Kelheim,48.9167,48.9167,48.9167,1
Calamba,8.5583,8.5583,8.5583,1
Carmo da Mata,-20.5578,-20.5578,-20.5578,1
Barsbüttel,53.5667,53.5667,53.5667,1
Tamgrout,30.2667,30.2667,30.2667,1
North Olmsted,41.4149,41.4149,41.4149,1
Baños,-2.9,-2.1482,-1.3964,2
Euless,32.8508,32.8508,32.8508,1
Lamwo,3.53,3.53,3.53,1
Khārupatia,26.5184,26.5184,26.5184,1
Oued Amlil,34.2,34.2,34.2,1
Nizao,18.2441,18.2441,18.2441,1
Domaniç,39.8033,39.8033,39.8033,1
Tatahuicapan,18.25,18.25,18.25,1
Kasibu,16.3181,16.3181,16.3181,1
Şoldăneşti,47.8167,47.8167,47.8167,1
Mosciano Sant’Angelo,42.75,42.75,42.75,1
Luisiana,14.185,14.185,14.185,1
Jacupiranga,-24.6925,-24.6925,-24.6925,1
Xiaqiaotou,27.2167,27.2167,27.2167,1
Satsumasendai,31.8167,31.8167,31.8167,1
Magog,45.2667,45.2667,45.2667,1
Laconia,43.5725,43.5725,43.5725,1
Bugalagrande,4.2167,4.2167,4.2167,1
Donetsk,48.3333,48.3333,48.3333,1
Rosso,16.5128,16.5128,16.5128,1
Aguelmous,33.15,33.15,33.15,1
Zhedao,24.8098,24.8098,24.8098,1
Wassenberg,51.1,51.1,51.1,1
Krivogaštani,41.3358,41.3358,41.3358,1
Casalmaggiore,44.9858,44.9858,44.9858,1
Bozüyük,39.9078,39.9078,39.9078,1
Jasło,49.7478,49.7478,49.7478,1
Lollar,50.6497,50.6497,50.6497,1
Schaffhausen,47.7,47.7,47.7,1
Workington,54.6365,54.6365,54.6365,1
Muzambinho,-21.3758,-21.3758,-21.3758,1
Shingū,33.7153,33.716003,33.7167,2
Bastia,42.7008,42.7008,42.7008,1
Gangaur,26.5666,26.5666,26.5666,1
Muconda,-10.6,-10.6,-10.6,1
Mancherāl,18.8679,18.8679,18.8679,1
Natchitoches,31.7315,31.7315,31.7315,1
Tinqueux,49.25,49.25,49.25,1
Ibara,34.6,34.6,34.6,1
Nagari,13.3214,13.3214,13.3214,1
Sontha,26.1861,26.1861,26.1861,1
Lamut,16.6517,16.6517,16.6517,1
Magna,40.7634,40.7634,40.7634,1
Plandište,45.2269,45.2269,45.2269,1
Kamianets-Podilskyi,48.6806,48.6806,48.6806,1
Angalakudūru Malepalle,16.2392,16.2392,16.2392,1
Erumād,11.5681,11.5681,11.5681,1
East Goshen,39.9934,39.9934,39.9934,1
Kamdoli,15.2048,15.2048,15.2048,1
Pikesville,39.3893,39.3893,39.3893,1
Ibrāhīmpatan,17.1017,17.1017,17.1017,1
Fayrōz Kōh,34.5225,34.5225,34.5225,1
Lugoj,45.7056,45.7056,45.7056,1
Humpata,-15.0725,-15.0725,-15.0725,1
Barrechid,33.2667,33.2667,33.2667,1
Laukāha,26.0336,26.0336,26.0336,1
Bariārpur Kāndh,25.9391,25.9391,25.9391,1
Ambolomadinika,-21.95,-21.95,-21.95,1
Shinjō,38.7667,38.7667,38.7667,1
Springfield,36.4949,41.4673,49.9292,9
Seynod,45.8889,45.8889,45.8889,1
Tbeng Meanchey,13.8167,13.8167,13.8167,1
Zhdanivka,48.15,48.15,48.15,1
Gotha,50.9489,50.9489,50.9489,1
Dyatkovo,53.6,53.6,53.6,1
Hinode,35.7421,35.7421,35.7421,1
Kannāndahalli,12.4164,12.4164,12.4164,1
Oyabe,36.6755,36.6755,36.6755,1
Remagen,50.5786,50.5786,50.5786,1
Mouans-Sartoux,43.62,43.62,43.62,1
San Bernardo del Viento,9.35,9.35,9.35,1
Cleethorpes,53.5533,53.5533,53.5533,1
Lugus,5.7,5.7,5.7,1
Soresina,45.2865,45.2865,45.2865,1
Coria del Río,37.2833,37.2833,37.2833,1
Jutaí,-2.7469,-2.7469,-2.7469,1
Fujimi,35.8566,35.8856,35.9146,2
Cimişlia,46.5167,46.5167,46.5167,1
Tūprān,17.8447,17.8447,17.8447,1
Sellersburg,38.4028,38.4028,38.4028,1
San Felíu de Guixols,41.7806,41.7806,41.7806,1
Hujiachi,37.8917,37.8917,37.8917,1
Táriba,7.8167,7.8167,7.8167,1
Brodnica,53.2597,53.2597,53.2597,1
Kotelnikovo,47.6333,47.6333,47.6333,1
Byumba,-1.5761,-1.5761,-1.5761,1
Khaw Zar Chaung Wa,15.0375,15.0375,15.0375,1
Pagqên,33.9739,33.9739,33.9739,1
Wamba,2.1442,2.1442,2.1442,1
Badhan,10.7139,10.7139,10.7139,1
Togba,7.1,7.1,7.1,1
Esplugas de Llobregat,41.3767,41.3767,41.3767,1
Aloha,45.492,45.492,45.492,1
Bunkeflostrand,55.55,55.55,55.55,1
Landhaura,29.82,29.82,29.82,1
Santo Amaro da Imperatriz,-27.6878,-27.6878,-27.6878,1
Zacoalco de Torres,20.2333,20.2333,20.2333,1
Starodub,52.5833,52.5833,52.5833,1
Medianeira,-25.295,-25.295,-25.295,1
Vawkavysk,53.1667,53.1667,53.1667,1
Ilha de Moçambique,-15.0367,-15.0367,-15.0367,1
São José da Bela Vista,-20.5928,-20.5928,-20.5928,1
Bastos,-21.9167,-21.9167,-21.9167,1
Gold Canyon,33.3639,33.3639,33.3639,1
Morauna,26.1706,26.1706,26.1706,1
Bueng Khong Long,17.9667,17.9667,17.9667,1
Harima,34.7167,34.7167,34.7167,1
Três Barras,-26.1058,-26.1058,-26.1058,1
Honda,5.2042,5.2042,5.2042,1
Xocalı,39.9111,39.9111,39.9111,1
Rettanai,12.1953,12.1953,12.1953,1
Nowa Sól,51.8,51.8,51.8,1
Jagannādapuram,13.2745,13.2745,13.2745,1
Giszowiec,50.2333,50.2333,50.2333,1
Cottingham,53.7822,53.7822,53.7822,1
Rimouski,48.45,48.45,48.45,1
Al Mayādīn,35.0183,35.0183,35.0183,1
Əmircan,40.4264,40.4264,40.4264,1
Bemanonga,-20.2833,-20.2833,-20.2833,1
Khā̃dbāri̇̄,27.3667,27.3667,27.3667,1
Amstetten,48.1167,48.1167,48.1167,1
Ōdachō-ōda,35.1833,35.1833,35.1833,1
Yenmangandla,16.8839,16.8839,16.8839,1
Les Pavillons-sous-Bois,48.9,48.9,48.9,1
Pachino,36.7167,36.7167,36.7167,1
Raba,-8.4614,-8.4614,-8.4614,1
Douar Ezzerarda,34.7667,34.7667,34.7667,1
Swanage,50.608,50.608,50.608,1
Chinnakkavundanūr,11.4559,11.4559,11.4559,1
Uvinza,-5.1036,-5.1036,-5.1036,1
Thīkri,22.0634,22.0634,22.0634,1
Padaivedu,11.4401,11.4401,11.4401,1
Lakeland North,47.3374,47.3374,47.3374,1
Gaoniang,26.8394,26.8394,26.8394,1
Quilengues,-14.0814,-14.0814,-14.0814,1
Saymayl,36.8583,36.8583,36.8583,1
Gonglang,24.8391,24.8391,24.8391,1
Dommasandra,12.8781,12.8781,12.8781,1
Little Hulton,53.53,53.53,53.53,1
Cottonwood,34.7195,34.7195,34.7195,1
Allouez,44.4721,44.4721,44.4721,1
Montataire,49.2556,49.2556,49.2556,1
Mosina,52.2467,52.2467,52.2467,1
Punta del Este,-34.9667,-34.9667,-34.9667,1
Mbulungu,-6.0667,-6.0667,-6.0667,1
Bernissart,50.4833,50.4833,50.4833,1
Hvardiiske,45.1142,45.1142,45.1142,1
Kathu,-27.7,-9.894401,7.9112,2
Anolaima,4.7617,4.7617,4.7617,1
Gaffney,35.0743,35.0743,35.0743,1
Nossen,51.05,51.05,51.05,1
Airmont,41.0992,41.0992,41.0992,1
Dattapulia,23.2404,23.2404,23.2404,1
Lubliniec,50.6833,50.6833,50.6833,1
Bertinoro,44.15,44.15,44.15,1
Hillside,40.6961,40.6961,40.6961,1
Cabra,37.4667,37.4667,37.4667,1
Ibaté,-21.955,-21.955,-21.955,1
Bar-le-Duc,48.7717,48.7717,48.7717,1
Bougou,9.4333,9.4333,9.4333,1
Port Hope,43.95,43.95,43.95,1
Margny-lès-Compiègne,49.4261,49.4261,49.4261,1
Sohano,-5.4297,-5.4297,-5.4297,1
Nizip,37.01,37.01,37.01,1
Wallingford,41.4589,46.52895,51.599,2
Lezhë,41.7819,41.7819,41.7819,1
Büyükyoncalı,41.3833,41.3833,41.3833,1
Bañga,11.6389,11.6389,11.6389,1
Cesena,44.1389,44.1389,44.1389,1
Būndi,25.4383,25.4383,25.4383,1
Mesquite,32.7602,34.7817,36.8032,2
Salkhua,25.6677,25.6677,25.6677,1
Cabagan,17.4333,17.4333,17.4333,1
Harenkarspel,52.7344,52.7344,52.7344,1
Al Hamalah,26.1497,26.1497,26.1497,1
Bougival,48.865,48.865,48.865,1
Hitoyoshi,32.2167,32.2167,32.2167,1
Sosale,12.233,12.233,12.233,1
Catarman,9.1333,10.81635,12.4994,2
Paniem,15.5167,15.5167,15.5167,1
Aulnay-sous-Bois,48.9386,48.9386,48.9386,1
Ḩorr-e Rīāḩī,32.1447,32.1447,32.1447,1
Būndu,23.1609,23.1609,23.1609,1
Erzincan,39.7464,39.7464,39.7464,1
Bouskoura,33.4489,33.4489,33.4489,1
Sabinópolis,-18.6658,-18.6658,-18.6658,1
Panajachel,14.7361,14.7361,14.7361,1
Xgħajra,35.8864,35.8864,35.8864,1
Paraguaçu,-21.5331,-21.5331,-21.5331,1
Senador Pompeu,-5.5878,-5.5878,-5.5878,1
Naunhof,51.2778,51.2778,51.2778,1
Chishtian,29.8,29.8,29.8,1
Yawatahama-shi,33.4667,33.4667,33.4667,1
Murambi,-1.8133,-1.8133,-1.8133,1
Nußloch,49.3236,49.3236,49.3236,1
Sānchor,24.7517,24.7517,24.7517,1
Bamban,15.2742,15.2742,15.2742,1
Arroyito,-31.4167,-27.295,-23.1733,2
Magarao,13.6619,13.6619,13.6619,1
Fujita,34.8674,34.8674,34.8674,1
Fougères,48.3525,48.3525,48.3525,1
Fara in Sabina,42.2167,42.2167,42.2167,1
Cabot,34.9766,34.9766,34.9766,1
Korkino,54.9,54.9,54.9,1
Rendon,32.5789,32.5789,32.5789,1
Ixhuatlancillo,18.9,18.9,18.9,1
Seaham,54.84,54.84,54.84,1
Ocara,-4.4908,-4.4908,-4.4908,1
Goulmima,31.6944,31.6944,31.6944,1
Khotyn,48.5078,48.5078,48.5078,1
Bühl,48.6953,48.6953,48.6953,1
Horn-Bad Meinberg,51.8833,51.8833,51.8833,1
Birigui,-21.2886,-21.2886,-21.2886,1
Gātāda,18.2844,18.2844,18.2844,1
Leonding,48.2792,48.2792,48.2792,1
Kumage,34.0495,34.0495,34.0495,1
Ovejas,9.5,9.5,9.5,1
Wülfrath,51.2833,51.2833,51.2833,1
Houlong,24.6167,24.6167,24.6167,1
Manjathala,11.3624,11.3624,11.3624,1
Dīnānagar,32.15,32.15,32.15,1
Vasto,42.1116,42.1116,42.1116,1
San Rafael,-34.6,7.110578,37.9905,9
Honge,15.88,15.88,15.88,1
Tearce,42.0775,42.0775,42.0775,1
Dehti,26.2115,26.2115,26.2115,1
Gabú,12.2833,12.2833,12.2833,1
Kusmaul,26.1911,26.1911,26.1911,1
Corbeil-Essonnes,48.6139,48.6139,48.6139,1
Schmitten,50.2697,50.2697,50.2697,1
Naama,33.2678,33.2678,33.2678,1
Vladičin Han,42.7,42.7,42.7,1
Raia,15.4969,15.4969,15.4969,1
Sirari,-1.2244,-1.2244,-1.2244,1
Huehuetoca,19.8342,19.8342,19.8342,1
Aïn Taoujdat,33.9333,33.9333,33.9333,1
Clitheroe,53.8711,53.8711,53.8711,1
Ravensburg,47.7831,47.7831,47.7831,1
Cisternino,40.7333,40.7333,40.7333,1
Qiziltepa,40.0361,40.0361,40.0361,1
Nagato,34.3722,34.3722,34.3722,1
Bakhtiyārpur,25.4667,25.4667,25.4667,1
Ouadda,8.0667,8.0667,8.0667,1
Lajosmizse,47.0264,47.0264,47.0264,1
Dipalpur,30.6708,30.6708,30.6708,1
Las Margaritas,16.3667,16.3667,16.3667,1
Rain,48.6833,48.6833,48.6833,1
Amurrio,43.0528,43.0528,43.0528,1
Kalyandrug,14.55,14.55,14.55,1
Kaguchi,11.4519,11.4519,11.4519,1
Kafr al Kurdī,31.1429,31.1429,31.1429,1
Matsubushi,35.9258,35.9258,35.9258,1
Coventry,41.6934,41.7381,41.7828,2
Oulad Embarek,32.2833,32.2833,32.2833,1
Igny,48.7422,48.7422,48.7422,1
Hitachiomiya,36.5425,36.5425,36.5425,1
Itakura,36.2259,36.2259,36.2259,1
Raha,-4.8311,-4.8311,-4.8311,1
Nagasu,32.9297,32.9297,32.9297,1
Chanute,37.6695,37.6695,37.6695,1
Inungūr,10.8507,10.8507,10.8507,1
Dehri,24.91,25.167599,25.4252,2
Patsanda,24.858,24.858,24.858,1
Sebiston,38.25,38.25,38.25,1
Ormož,46.4086,46.4086,46.4086,1
Herenthout,51.15,51.15,51.15,1
Santo Stefano di Magra,44.1625,44.1625,44.1625,1
Pemangkat,1.1768,1.1768,1.1768,1
Dunbar,56.0027,56.0027,56.0027,1
Natori-shi,38.1715,38.1715,38.1715,1
Yanagawa,33.1597,33.1597,33.1597,1
Pedras de Maria da Cruz,-15.6069,-15.6069,-15.6069,1
Sambir,49.5167,49.5167,49.5167,1
Metsamor,40.1428,40.1428,40.1428,1
Sant’Arpino,40.9575,40.9575,40.9575,1
Laligam,12.05,12.05,12.05,1
Tuymazy,54.6,54.6,54.6,1
Caorle,45.6,45.6,45.6,1
Cottage Grove,43.796,44.306053,44.8161,2
Rotherham,53.43,53.43,53.43,1
Hopkins,44.9259,44.9259,44.9259,1
Buşrá al Ḩarīr,32.8425,32.8425,32.8425,1
Boysun,38.2,38.2,38.2,1
Columbia Heights,45.0484,45.0484,45.0484,1
Sawahlunto,-0.6828,-0.6828,-0.6828,1
Paracho de Verduzco,19.65,19.65,19.65,1
Guadalajara de Buga,3.9,3.9,3.9,1
Salamanca,-31.7667,4.5991497,40.965,2
